"Date","Price","Open","High","Low","Change %"
"Mar 17, 2016","2.8417","2.8669","2.8740","2.8370","-0.93%"
"Mar 16, 2016","2.8684","2.8971","2.9310","2.8620","-1.04%"
"Mar 15, 2016","2.8986","2.8696","2.9120","2.8650","0.98%"
"Mar 14, 2016","2.8704","2.8675","2.8880","2.8610","0.12%"
"Mar 11, 2016","2.8670","2.8900","2.8980","2.8621","-0.85%"
"Mar 10, 2016","2.8915","2.8913","2.9100","2.8715","0.03%"
"Mar 09, 2016","2.8907","2.9135","2.9212","2.8840","-0.81%"
"Mar 08, 2016","2.9144","2.9136","2.9306","2.9051","-0.05%"
"Mar 07, 2016","2.9160","2.9073","2.9326","2.9023","0.27%"
"Mar 04, 2016","2.9082","2.9070","2.9278","2.8990","-0.02%"
"Mar 03, 2016","2.9088","2.9239","2.9347","2.9040","-0.56%"
"Mar 02, 2016","2.9253","2.9354","2.9481","2.9220","-0.37%"
"Mar 01, 2016","2.9361","2.9630","2.9682","2.9275","-0.99%"
"Feb 29, 2016","2.9654","2.9953","2.9963","2.9510","-0.91%"
"Feb 26, 2016","2.9925","2.9270","3.0015","2.9175","2.20%"
"Feb 25, 2016","2.9280","2.9348","2.9428","2.9160","-0.28%"
"Feb 24, 2016","2.9363","2.9427","2.9550","2.9310","-0.25%"
"Feb 23, 2016","2.9437","2.9358","2.9470","2.9260","0.24%"
"Feb 22, 2016","2.9367","2.9522","2.9577","2.9290","-0.50%"
"Feb 19, 2016","2.9516","2.9676","2.9758","2.9470","-0.64%"
"Feb 18, 2016","2.9705","2.9553","2.9752","2.9470","0.49%"
"Feb 17, 2016","2.9561","2.9744","2.9843","2.9400","-0.72%"
"Feb 16, 2016","2.9774","2.9446","2.9818","2.9400","1.06%"
"Feb 15, 2016","2.9461","2.9293","2.9560","2.9237","0.57%"
"Feb 12, 2016","2.9295","2.9280","2.9398","2.9150","-0.05%"
"Feb 11, 2016","2.9310","2.9203","2.9470","2.9140","0.31%"
"Feb 10, 2016","2.9218","2.9395","2.9427","2.9140","-0.64%"
"Feb 09, 2016","2.9407","2.9466","2.9631","2.9260","-0.22%"
"Feb 08, 2016","2.9473","2.9175","2.9550","2.9110","0.82%"
"Feb 05, 2016","2.9232","2.9108","2.9268","2.8890","0.39%"
"Feb 04, 2016","2.9118","2.9149","2.9270","2.8853","-0.16%"
"Feb 03, 2016","2.9164","2.9511","2.9646","2.9060","-1.20%"
"Feb 02, 2016","2.9519","2.9449","2.9610","2.9420","0.21%"
"Feb 01, 2016","2.9456","2.9551","2.9780","2.9400","-0.33%"
"Jan 29, 2016","2.9553","2.9684","2.9780","2.9500","-0.47%"
"Jan 28, 2016","2.9693","3.0004","3.0030","2.9640","-1.07%"
"Jan 27, 2016","3.0014","3.0073","3.0190","2.9840","-0.25%"
"Jan 26, 2016","3.0088","3.0199","3.0356","3.0010","-0.42%"
"Jan 25, 2016","3.0214","2.9995","3.0245","2.9969","0.59%"
"Jan 22, 2016","3.0038","3.0111","3.0238","2.9975","-0.29%"
"Jan 21, 2016","3.0126","3.0413","3.0541","3.0091","-0.97%"
"Jan 20, 2016","3.0422","3.0390","3.0630","3.0339","0.07%"
"Jan 19, 2016","3.0402","3.0335","3.0467","3.0160","0.12%"
"Jan 18, 2016","3.0365","3.0469","3.0533","3.0270","-0.39%"
"Jan 15, 2016","3.0484","3.0210","3.0549","3.0197","0.82%"
"Jan 14, 2016","3.0235","3.0240","3.0435","3.0140","-0.17%"
"Jan 13, 2016","3.0285","3.0315","3.0365","3.0020","-0.15%"
"Jan 12, 2016","3.0332","3.0362","3.0490","3.0200","-0.15%"
"Jan 11, 2016","3.0377","3.0197","3.0437","3.0080","0.54%"
"Jan 08, 2016","3.0214","2.9981","3.0231","2.9800","0.74%"
"Jan 07, 2016","2.9993","2.9997","3.0290","2.9840","-0.10%"
"Jan 06, 2016","3.0024","2.9839","3.0160","2.9810","0.58%"
"Jan 05, 2016","2.9852","2.9634","2.9918","2.9530","0.71%"
"Jan 04, 2016","2.9642","2.9175","2.9810","2.9127","1.73%"
"Jan 01, 2016","2.9139","2.9167","2.9201","2.9119","-0.13%"
"Dec 31, 2015","2.9177","2.9150","2.9311","2.9020","-0.03%"
"Dec 30, 2015","2.9186","2.9048","2.9331","2.9020","0.42%"
"Dec 29, 2015","2.9063","2.9050","2.9155","2.9000","0.00%"
"Dec 28, 2015","2.9062","2.9178","2.9259","2.9023","-0.57%"
"Dec 25, 2015","2.9230","2.9170","2.9255","2.9080","0.15%"
"Dec 24, 2015","2.9185","2.9154","2.9272","2.9110","0.05%"
"Dec 23, 2015","2.9169","2.9277","2.9390","2.9143","-0.47%"
"Dec 22, 2015","2.9308","2.9130","2.9520","2.9047","0.56%"
"Dec 21, 2015","2.9145","2.9069","2.9235","2.9010","0.20%"
"Dec 18, 2015","2.9087","2.9293","2.9388","2.9010","-0.70%"
"Dec 17, 2015","2.9292","2.9336","2.9510","2.9140","-0.20%"
"Dec 16, 2015","2.9352","2.9625","2.9757","2.9185","-0.97%"
"Dec 15, 2015","2.9640","2.9785","2.9915","2.9470","-0.52%"
"Dec 14, 2015","2.9796","2.9731","2.9985","2.9430","-0.07%"
"Dec 11, 2015","2.9817","2.9224","2.9899","2.9140","1.99%"
"Dec 10, 2015","2.9235","2.9151","2.9296","2.9000","0.24%"
"Dec 09, 2015","2.9165","2.9088","2.9295","2.8990","0.22%"
"Dec 08, 2015","2.9100","2.9122","2.9258","2.9000","-0.12%"
"Dec 07, 2015","2.9135","2.8927","2.9180","2.8750","0.64%"
"Dec 04, 2015","2.8950","2.8840","2.9171","2.8730","0.36%"
"Dec 03, 2015","2.8846","2.8885","2.8980","2.8670","-0.16%"
"Dec 02, 2015","2.8893","2.8897","2.9010","2.8690","-0.05%"
"Dec 01, 2015","2.8907","2.9126","2.9146","2.8750","-0.77%"
"Nov 30, 2015","2.9131","2.9201","2.9365","2.8940","-0.39%"
"Nov 27, 2015","2.9245","2.9203","2.9353","2.9065","0.12%"
"Nov 26, 2015","2.9211","2.8876","2.9275","2.8825","1.13%"
"Nov 25, 2015","2.8884","2.8764","2.8941","2.8710","0.39%"
"Nov 24, 2015","2.8773","2.8496","2.8850","2.8400","0.93%"
"Nov 23, 2015","2.8508","2.8277","2.8538","2.8243","0.67%"
"Nov 20, 2015","2.8317","2.8417","2.8497","2.8120","-0.39%"
"Nov 19, 2015","2.8427","2.8604","2.8709","2.8360","-0.67%"
"Nov 18, 2015","2.8619","2.8676","2.8764","2.8520","-0.25%"
